"title","release_year","character","gender","words","proportion_of_dialogue","age","gross","script_id"
"Romeo & Juliet",2013,"Juliet","woman",1393,0.2138470986,17,1,1286
"Romeo & Juliet",2013,"Lady Capulet","woman",347,0.0532698803,44,1,1286
"Romeo & Juliet",2013,"Lord Capulet","man",451,0.0692354928,42,1,1286
"Romeo & Juliet",2013,"Mercutio","man",727,0.1116057722,26,1,1286
"Romeo & Juliet",2013,"Nurse","woman",505,0.0775253301,57,1,1286
"Romeo & Juliet",2013,"Prince Of Veron","man",172,0.0264046669,62,1,1286
"Romeo & Juliet",2013,"Romeo","man",1564,0.2400982499,21,1,1286
"Romeo & Juliet",2013,"Sampson","man",148,0.0227202947,,1,1286
"Romeo & Juliet",2013,"Tybalt","man",138,0.0211851397,26,1,1286
"Ronin",1998,"Deirdre","woman",1221,0.1752547725,29,77,1287
"Ronin",1998,"Gregor","man",704,0.1010477968,47,77,1287
"Ronin",1998,"Jean-Pierre","man",338,0.0485144251,67,77,1287
"Ronin",1998,"Larry","man",411,0.0589923927,42,77,1287
"Ronin",1998,"Sam","man",2119,0.3041481269,55,77,1287
"Ronin",1998,"Seamus O'Rourke","man",555,0.0796612602,51,77,1287
"Ronin",1998,"Vincent","man",1619,0.2323812258,50,77,1287
"Rushmore",1998,"Dirk Calloway","man",215,0.0397927078,12,31,1291
"Rushmore",1998,"Dr. Nelson Gugg","man",131,0.0242457894,52,31,1291
"Rushmore",1998,"Magnus Buchan","man",169,0.0312789191,,31,1291
"Rushmore",1998,"Margaret Yang","woman",167,0.0309087544,20,31,1291
"Rushmore",1998,"Max Fischer","man",2983,0.5521006848,18,31,1291
"Rushmore",1998,"Mr. Blume","man",845,0.1563945956,,31,1291
"Rushmore",1998,"Rosemary Cross","woman",893,0.165278549,30,31,1291
"Roughshod",1949,"Clay Phillips","man",2452,0.3037661051,32,,1292
"Roughshod",1949,"Elaine Wyatt","woman",201,0.024900892,28,,1292
"Roughshod",1949,"Fowler","man",199,0.0246531219,25,,1292
"Roughshod",1949,"Helen Carter","woman",860,0.1065411298,25,,1292
"Roughshod",1949,"Jed Graham","man",248,0.0307234886,35,,1292
"Roughshod",1949,"Lednov","man",276,0.0341922696,35,,1292
"Roughshod",1949,"Ma Wyatt","woman",164,0.0203171457,50,,1292
"Roughshod",1949,"Mary Wells","woman",2128,0.2636273538,26,,1292
"Roughshod",1949,"Sheriff Gardner","man",121,0.0149900892,56,,1292
"Roughshod",1949,"Steve Phillips","man",1423,0.1762884044,15,,1292
"The Saint",1997,"Catholic Priest","man",122,0.0269196823,,116,1294
"The Saint",1997,"Dr. Emma Russel","woman",1552,0.3424536628,34,116,1294
"The Saint",1997,"Frankie","woman",169,0.0372903795,31,116,1294
"The Saint",1997,"Ivan Tretiak","man",528,0.1165048544,51,116,1294
"The Saint",1997,"Romanov","man",211,0.0465578111,,116,1294
"The Saint",1997,"Simon Templar","man",1600,0.3530450132,38,116,1294
"The Saint",1997,"Whitehead","man",140,0.0308914387,,116,1294
"The Saint",1997,"Zubov","man",210,0.046337158,,116,1294
"Save the Last Dance",2001,"Chenille","woman",1061,0.1268380155,24,139,1295
"Save the Last Dance",2001,"Derek","man",2118,0.2531978482,31,139,1295
"Save the Last Dance",2001,"Glynn","woman",139,0.0166168559,,139,1295
"Save the Last Dance",2001,"Kenny","man",200,0.0239091452,,139,1295
"Save the Last Dance",2001,"Malakai","man",664,0.0793783622,30,139,1295
"Save the Last Dance",2001,"Mrs. Gwynn","woman",192,0.0229527794,,139,1295
"Save the Last Dance",2001,"Nikki","woman",323,0.0386132696,22,139,1295
"Save the Last Dance",2001,"Roy","man",936,0.1118947998,47,139,1295
"Save the Last Dance",2001,"Sara","woman",2332,0.2787806336,20,139,1295
"Save the Last Dance",2001,"Snookie","man",400,0.0478182905,,139,1295
"The Salton Sea",2002,"Al Garcetti","man",401,0.0642319398,43,1,1296
"The Salton Sea",2002,"Colette","woman",448,0.0717603716,38,1,1296
"The Salton Sea",2002,"Danny Parker","man",3244,0.5196219766,43,1,1296
"The Salton Sea",2002,"Jimmy The Finn","man",549,0.0879384911,31,1,1296
"The Salton Sea",2002,"Kujo","man",185,0.0296331892,32,1,1296
"The Salton Sea",2002,"Liz","woman",172,0.027550857,32,1,1296
"The Salton Sea",2002,"Nancy","woman",143,0.0229056543,29,1,1296
"The Salton Sea",2002,"Pooh-Bear","man",439,0.070318757,,1,1296
"The Salton Sea",2002,"Tanner","man",529,0.0847349031,,1,1296
"The Salton Sea",2002,"Trahn","man",133,0.0213038603,,1,1296
"S. Darko",2009,"Corey","woman",1038,0.2257503262,23,,1297
"S. Darko",2009,"Dusty","man",134,0.0291431057,,,1297
"S. Darko",2009,"Iraq Jack","man",238,0.0517616355,24,,1297
"S. Darko",2009,"Jeremy","man",900,0.1957372771,25,,1297
"S. Darko",2009,"Officer O'Dell","man",427,0.0928664637,,,1297
"S. Darko",2009,"Pastor John","man",138,0.0300130492,31,,1297
"S. Darko",2009,"Randy","man",403,0.087646803,22,,1297
"S. Darko",2009,"Samantha","woman",1104,0.2401043932,19,,1297
"S. Darko",2009,"Trudy","woman",216,0.0469769465,37,,1297
"Scarface",1983,"Alberto The Sha","man",159,0.0114693789,44,1,1305
"Scarface",1983,"Alejandro Sosa","man",956,0.0689605425,47,1,1305
"Scarface",1983,"Angel","man",110,0.0079347904,39,1,1305
"Scarface",1983,"Chi Chi","man",212,0.0152925052,,1,1305
"Scarface",1983,"Elvira Hancock","woman",851,0.0613864243,25,1,1305
"Scarface",1983,"Ernie","man",125,0.0090168073,,1,1305
"Scarface",1983,"Frank Lopez","man",1171,0.0844694511,53,1,1305
"Scarface",1983,"Gina Montana","woman",705,0.0508547933,25,1,1305
"Scarface",1983,"Hector The Toad","man",207,0.0149318329,48,1,1305
"Scarface",1983,"Jerry The Banke","man",216,0.0155810431,41,1,1305
"Scarface",1983,"Mel Bernstein","man",313,0.0225780856,46,1,1305
"Scarface",1983,"Omar Suarez","man",289,0.0208468585,44,1,1305
"Scarface",1983,"Seidelbaum","man",115,0.0082954627,61,1,1305
"Scarface",1983,"Sheffield","man",245,0.0176729424,42,1,1305
"Scarface",1983,"Tony Montana","man",8189,0.5907090817,43,1,1305
"Semi-Pro",2008,"Bear Handler","woman",120,0.0128328521,35,40,1307
"Semi-Pro",2008,"Bee Bee Ellis","man",333,0.0356111646,,40,1307
"Semi-Pro",2008,"Clarence","man",1241,0.1327130788,33,40,1307
"Semi-Pro",2008,"Father Pat The ","man",102,0.0109079243,44,40,1307
"Semi-Pro",2008,"Jackie Moon","man",3754,0.4014543899,41,40,1307
"Semi-Pro",2008,"Kyle","man",258,0.027590632,37,40,1307
"Semi-Pro",2008,"Lynn","woman",732,0.0782803978,43,40,1307
"Semi-Pro",2008,"Monix","man",2448,0.2617901829,47,40,1307
"Semi-Pro",2008,"Ms. Quincy","woman",107,0.0114426265,,40,1307
"Semi-Pro",2008,"Scootsie Double","man",155,0.0165757673,,40,1307
"Semi-Pro",2008,"Twiggy Munson","man",101,0.0108009839,31,40,1307
"The Seventh Seal",1957,"Albertus Pictor","man",257,0.0345337275,53,,1309
"The Seventh Seal",1957,"Blacksmith Plog","man",658,0.0884170922,38,,1309
"The Seventh Seal",1957,"Death","man",364,0.0489115829,37,,1309
"The Seventh Seal",1957,"Jof","man",1245,0.1672937382,49,,1309
"The Seventh Seal",1957,"Jonas Skat","man",639,0.085864015,38,,1309
"The Seventh Seal",1957,"J�Ns, Squire","man",1769,0.237704918,48,,1309
"The Seventh Seal",1957,"Karin, Block'S ","woman",253,0.0339962376,30,,1309
"The Seventh Seal",1957,"Knight","man",1236,0.1660843859,32,,1309
"The Seventh Seal",1957,"Lisa, Blacksmit","woman",106,0.0142434829,32,,1309
"The Seventh Seal",1957,"Mia","woman",719,0.0966138135,22,,1309
"The Seventh Seal",1957,"Raval","man",196,0.0263370062,44,,1309
"Serial Mom",1994,"Beverly R. Sutp","woman",1416,0.3127208481,40,16,1310
"Serial Mom",1994,"Birdie","woman",169,0.0373233216,,16,1310
"Serial Mom",1994,"Chip","man",434,0.0958480565,24,16,1310
"Serial Mom",1994,"Det. Bradford","man",170,0.0375441696,,16,1310
"Serial Mom",1994,"Det. Moore","man",168,0.0371024735,,16,1310
"Serial Mom",1994,"Dottie Hinkle","woman",225,0.0496908127,47,16,1310
"Serial Mom",1994,"Eugene Sutphin,","man",501,0.1106448763,54,16,1310
"Serial Mom",1994,"Judge","man",160,0.035335689,,16,1310
"Serial Mom",1994,"Misty","woman",343,0.0757508834,26,16,1310
"Serial Mom",1994,"Mr. Nazlerod","man",358,0.0790636042,,16,1310
"Serial Mom",1994,"Mr. Stubbins","man",135,0.0298144876,,16,1310
"Serial Mom",1994,"Mrs. Jenson","woman",107,0.023630742,,16,1310
"Serial Mom",1994,"Rosemary Ackerm","woman",240,0.0530035336,56,16,1310
"Serial Mom",1994,"Scotty","man",102,0.0225265018,20,16,1310
"She's Out of My League",2010,"Billy Joel","man",109,0.0111932635,,34,1320
"She's Out of My League",2010,"Devon","man",125,0.0128363114,33,34,1320
"She's Out of My League",2010,"Dylan","man",585,0.0600739372,35,34,1320
"She's Out of My League",2010,"Grammy","woman",294,0.0301910043,,34,1320
"She's Out of My League",2010,"Kirk","man",3145,0.3229615938,28,34,1320
"She's Out of My League",2010,"Marnie","woman",385,0.039535839,33,34,1320
"She's Out of My League",2010,"Molly","woman",1786,0.1834052167,28,34,1320
"She's Out of My League",2010,"Mr. Fuller","man",177,0.0181762169,39,34,1320
"She's Out of My League",2010,"Patty","woman",531,0.0545286506,29,34,1320
"She's Out of My League",2010,"Ron","man",140,0.0143766687,33,34,1320
"She's Out of My League",2010,"Stainer","man",2106,0.2162661738,29,34,1320
"She's Out of My League",2010,"Talon","man",355,0.0364551243,,34,1320
"Shivers",1975,"Betts","woman",351,0.0869026987,38,,1324
"Shivers",1975,"Janine Tudor","woman",282,0.0698192622,,,1324
"Shivers",1975,"Merrick","man",235,0.0581827185,,,1324
"Shivers",1975,"Mona Wheatley","woman",132,0.0326813568,49,,1324
"Shivers",1975,"Nicholas Tudor","man",330,0.0817033919,,,1324
"Shivers",1975,"Nurse Forsythe","woman",423,0.1047288933,28,,1324
"Shivers",1975,"Parkins","man",199,0.0492696212,,,1324
"Shivers",1975,"Roger St. Luc","man",847,0.2097053726,38,,1324
"Shivers",1975,"Rollo Linsky","man",1240,0.3070066848,53,,1324
"Signs",2002,"Bo Hess","woman",147,0.0270768097,6,341,1325
"Signs",2002,"Merrill Hess","man",1135,0.2090624424,28,341,1325
"Signs",2002,"Morgan Hess","man",692,0.1274636213,13,341,1325
"Signs",2002,"Officer Paski","woman",923,0.1700128937,46,341,1325
"Signs",2002,"Ray Reddy","man",202,0.0372075889,32,341,1325
"Signs",2002,"Rev. Graham Hes","man",2330,0.4291766439,46,341,1325
"Silver Bullet",1985,"Andy Fairton","man",195,0.0471698113,38,,1329
"Silver Bullet",1985,"Herb Kincaid","man",148,0.0358006773,45,,1329
"Silver Bullet",1985,"Jane Coslaw","woman",514,0.1243347847,17,,1329
"Silver Bullet",1985,"Marty Coslaw","man",872,0.2109337204,14,,1329
"Silver Bullet",1985,"Nan Coslaw","woman",203,0.0491049831,40,,1329
"Silver Bullet",1985,"Reverend Lowe","man",539,0.1303821964,40,,1329
"Silver Bullet",1985,"Sheriff Joe Hal","man",274,0.0662796323,33,,1329
"Silver Bullet",1985,"Tammy Sturmfull","woman",143,0.034591195,,,1329
"Silver Bullet",1985,"Uncle Red","man",1246,0.3014029995,41,,1329
"The Silence of the Lambs",1991,"Ardelia Mapp","woman",253,0.0212017095,30,270,1330
"The Silence of the Lambs",1991,"Catherine Marti","woman",344,0.0288276209,24,270,1330
"The Silence of the Lambs",1991,"Clarice Starlin","woman",3844,0.3221319031,29,270,1330
"The Silence of the Lambs",1991,"Dr. Akin","man",117,0.0098047431,70,270,1330
"The Silence of the Lambs",1991,"Dr. Frederick C","man",751,0.0629347188,47,270,1330
"The Silence of the Lambs",1991,"Dr. Hannibal Le","man",2516,0.2108438783,54,270,1330
"The Silence of the Lambs",1991,"Jack Crawford","man",2323,0.1946702422,50,270,1330
"The Silence of the Lambs",1991,"Jame Gumb","man",453,0.0379619542,34,270,1330
"The Silence of the Lambs",1991,"Mr. Brigham","man",205,0.0171792508,,270,1330
"The Silence of the Lambs",1991,"Mr. Yow","man",104,0.0087153272,,270,1330
"The Silence of the Lambs",1991,"Paul Krendler","man",241,0.0201960949,43,270,1330
"The Silence of the Lambs",1991,"Pilcher","man",111,0.0093019358,,270,1330
"The Silence of the Lambs",1991,"Sen. Martin'S A","man",186,0.0155870276,,270,1330
"The Silence of the Lambs",1991,"Sgt. Tate","man",326,0.0273191989,,270,1330
"The Silence of the Lambs",1991,"Stacy Hubka","woman",159,0.0133243945,,270,1330
"Sister Act",1992,"Bishop O'Hara","man",250,0.0289754288,59,293,1333
"Sister Act",1992,"Deloris","woman",3999,0.4634909597,37,293,1333
"Sister Act",1992,"Eddie Souther","man",799,0.0926054706,39,293,1333
"Sister Act",1992,"Joey","man",273,0.0316411683,,293,1333
"Sister Act",1992,"Lewanda","woman",134,0.0155308299,29,293,1333
"Sister Act",1992,"Mary Lazarus","woman",264,0.0305980529,82,293,1333
"Sister Act",1992,"Mary Patrick","woman",706,0.081826611,35,293,1333
"Sister Act",1992,"Mary Robert","woman",619,0.0717431618,34,293,1333
"Sister Act",1992,"Mother Superior","woman",672,0.0778859527,58,293,1333
"Sister Act",1992,"Vince Larocca","man",765,0.0886648122,53,293,1333
"Sister Act",1992,"Willy","man",147,0.0170375522,45,293,1333
"Snatch.",2000,"Boris The Blade","man",391,0.0287035678,54,48,1339
"Snatch.",2000,"Brick Top","man",1568,0.1151079137,62,48,1339
"Snatch.",2000,"Bullet-Tooth To","man",1520,0.111584202,35,48,1339
"Snatch.",2000,"Doug The Head","man",647,0.0474966965,60,48,1339
"Snatch.",2000,"Errol","man",429,0.0314931728,,48,1339
"Snatch.",2000,"Gorgeous George","man",246,0.0180590222,31,48,1339
"Snatch.",2000,"Hands","man",987,0.0724563207,,48,1339
"Snatch.",2000,"John","man",112,0.0082219938,37,48,1339
"Snatch.",2000,"Ken","man",154,0.0113052415,,48,1339
"Snatch.",2000,"Mickey O'Neil","man",746,0.0547643518,37,48,1339
"Snatch.",2000,"Mullet","man",160,0.0117457055,28,48,1339
"Snatch.",2000,"Mum","woman",123,0.0090295111,,48,1339
"Snatch.",2000,"Pauline","woman",126,0.0092497431,,48,1339
"Snatch.",2000,"Sol","man",1828,0.1341946851,35,48,1339
"Snatch.",2000,"The Russian","man",187,0.0137277933,30,48,1339
"Snatch.",2000,"Tommy","man",930,0.0682719131,27,48,1339
"Snatch.",2000,"Turkish","man",1575,0.1156217883,33,48,1339
"Snatch.",2000,"Tyrone","man",382,0.0280428718,,48,1339
"Snatch.",2000,"Vinny","man",1511,0.1109235061,30,48,1339
"Smokin' Aces",2006,"Beanie","man",194,0.0192288631,35,47,1340
"Smokin' Aces",2006,"Buddy Israel","man",1097,0.1087322827,41,47,1340
"Smokin' Aces",2006,"Darwin Tremor","man",196,0.0194270988,26,47,1340
"Smokin' Aces",2006,"Donald Carruthe","man",466,0.0461889186,52,47,1340
"Smokin' Aces",2006,"Georgia Sykes","woman",828,0.0820695807,25,47,1340
"Smokin' Aces",2006,"Hollis Elmore","man",411,0.0407374368,32,47,1340
"Smokin' Aces",2006,"Hugo Croop","man",149,0.0147685598,32,47,1340
"Smokin' Aces",2006,"Jack Dupree","man",893,0.0885122411,34,47,1340
"Smokin' Aces",2006,"Loretta Wyman","woman",210,0.0208147487,45,47,1340
"Smokin' Aces",2006,"Margie Turlock","woman",323,0.0320150659,58,47,1340
"Smokin' Aces",2006,"Morris Mecklen","man",201,0.0199226881,53,47,1340
"Smokin' Aces",2006,"Pasquale Acosta","man",244,0.0241847557,39,47,1340
"Smokin' Aces",2006,"Pimply Casino E","man",148,0.014669442,30,47,1340
"Smokin' Aces",2006,"Richard Messner","man",1096,0.1086331648,30,47,1340
"Smokin' Aces",2006,"Rupert 'Rip' Re","man",338,0.0335018337,37,47,1340
"Smokin' Aces",2006,"Serna","man",443,0.043909208,70,47,1340
"Smokin' Aces",2006,"Sharice Watters","woman",690,0.0683913173,36,47,1340
"Smokin' Aces",2006,"Sir Ivy","man",430,0.042620676,34,47,1340
"Smokin' Aces",2006,"Stanley Locke","man",1437,0.1424323521,50,47,1340
"Smokin' Aces",2006,"Victor Padiche","man",295,0.0292397661,64,47,1340
"So I Married an Axe Murderer",1993,"Charlie Mackenz","man",3608,0.4449377235,30,24,1342
"So I Married an Axe Murderer",1993,"Harriet Michael","woman",1718,0.2118633617,32,24,1342
"So I Married an Axe Murderer",1993,"May Mackenzie","woman",297,0.0366259711,48,24,1342
"So I Married an Axe Murderer",1993,"Precinct Captai","man",300,0.0369959304,59,24,1342
"So I Married an Axe Murderer",1993,"Rose Michaels","woman",715,0.0881736342,36,24,1342
"So I Married an Axe Murderer",1993,"Sherry","woman",224,0.0276236281,32,24,1342
"So I Married an Axe Murderer",1993,"Tony Giardino","man",1247,0.1537797509,34,24,1342
"Snow Falling on Cedars",1999,"Alvin Hooks","man",1729,0.1660902978,51,24,1343
"Snow Falling on Cedars",1999,"Arthur Chambers","man",112,0.0107588857,56,24,1343
"Snow Falling on Cedars",1999,"Carl Heine Jr.","man",295,0.0283381364,34,24,1343
"Snow Falling on Cedars",1999,"Etta Heine","woman",485,0.0465898175,48,24,1343
"Snow Falling on Cedars",1999,"Fbi Agent","man",148,0.0142170989,38,24,1343
"Snow Falling on Cedars",1999,"Fujiko Imada","woman",198,0.0190201729,,24,1343
"Snow Falling on Cedars",1999,"Hatsue Miyamoto","woman",1087,0.104418828,28,24,1343
"Snow Falling on Cedars",1999,"Helen Chambers","woman",202,0.0194044188,50,24,1343
"Snow Falling on Cedars",1999,"Horace Whaley","man",175,0.0168107589,56,24,1343
"Snow Falling on Cedars",1999,"Ishmael Chamber","man",1543,0.1482228626,29,24,1343
"Snow Falling on Cedars",1999,"Judge Fielding","man",199,0.0191162344,59,24,1343
"Snow Falling on Cedars",1999,"Kazuo Miyamoto","man",679,0.0652257445,28,24,1343
"Snow Falling on Cedars",1999,"Nels Gudmundsso","man",2608,0.2505283381,70,24,1343
"Snow Falling on Cedars",1999,"Sheriff Art Mor","man",747,0.0717579251,52,24,1343
"Snow Falling on Cedars",1999,"Zenhichi Miyamo","man",203,0.0195004803,49,24,1343
"Something's Gotta Give",2003,"Dave","man",141,0.0088318196,60,180,1346
"Something's Gotta Give",2003,"Dr. Martinez","woman",235,0.0147196993,45,180,1346
"Something's Gotta Give",2003,"Erica Barry","woman",4974,0.3115565299,57,180,1346
"Something's Gotta Give",2003,"Hamptons Nurse","woman",147,0.0092076417,,180,1346
"Something's Gotta Give",2003,"Harry Sanborn","man",6099,0.3820231757,66,180,1346
"Something's Gotta Give",2003,"Julian Mercer","man",1566,0.0980895709,39,180,1346
"Something's Gotta Give",2003,"Marin","woman",2269,0.1421233949,31,180,1346
"Something's Gotta Give",2003,"Zoe","woman",534,0.0334481679,46,180,1346
"Spare Me",1993,"Breeze","man",343,0.0507772021,23,,1347
"Spare Me",1993,"Buzz Fazeli","man",1275,0.1887490748,,,1347
"Spare Me",1993,"Junior Kastle","man",1449,0.214507772,,,1347
"Spare Me",1993,"Sheila","woman",1340,0.1983715766,,,1347
"Spare Me",1993,"Sid","man",620,0.0917838638,,,1347
"Spare Me",1993,"Theo Skinner","man",1728,0.2558105107,,,1347
"South Park: Bigger Longer & Uncut",1999,"Big Gay Al","man",213,0.0330334988,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Canadian Minist","man",101,0.0156637717,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Cartman'S Mothe","woman",139,0.021557072,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Chef","man",229,0.0355148883,57,89,1348
"South Park: Bigger Longer & Uncut",1999,"Eric Cartman","man",1217,0.1887406948,30,89,1348
"South Park: Bigger Longer & Uncut",1999,"General Plymkin","man",279,0.0432692308,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Gregory       (","man",367,0.0569168734,46,89,1348
"South Park: Bigger Longer & Uncut",1999,"Kenny'S Mother","woman",143,0.0221774194,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Kyle Broflovski","man",996,0.1544665012,28,89,1348
"South Park: Bigger Longer & Uncut",1999,"Mr. Garrison","man",200,0.0310173697,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Principal Victo","woman",172,0.026674938,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Sheila Broflovs","woman",1369,0.2123138958,38,89,1348
"South Park: Bigger Longer & Uncut",1999,"Stan'S Mother","woman",123,0.0190756824,,89,1348
"South Park: Bigger Longer & Uncut",1999,"The Mole","man",390,0.060483871,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Ticket Guy","man",136,0.0210918114,,89,1348
"South Park: Bigger Longer & Uncut",1999,"Wendy Testeberg","woman",215,0.0333436725,38,89,1348
"South Park: Bigger Longer & Uncut",1999,"Winona Ryder","woman",159,0.0246588089,30,89,1348
"Spanglish",2004,"Bernice","woman",1039,0.0678863117,16,58,1349
"Spanglish",2004,"Cristina","woman",777,0.050767723,12,58,1349
"Spanglish",2004,"Deborah Clasky","woman",4314,0.2818686704,38,58,1349
"Spanglish",2004,"Evelyn","woman",1036,0.0676902973,78,58,1349
"Spanglish",2004,"Flor","woman",1845,0.1205488402,28,58,1349
"Spanglish",2004,"Georgie","man",204,0.0133289775,9,58,1349
"Spanglish",2004,"Hispanic Man","man",105,0.0068605031,,58,1349
"Spanglish",2004,"John Clasky","man",4166,0.2721986279,38,58,1349
"Spanglish",2004,"Monica","woman",111,0.0072525319,33,58,1349
"Spanglish",2004,"Narrator","woman",1439,0.0940215616,26,58,1349
"Spanglish",2004,"Peter","man",110,0.0071871937,,58,1349
"Spanglish",2004,"Yuppie Girl","woman",159,0.0103887618,26,58,1349
"Spartan",2004,"Aide","man",107,0.0173673105,,6,1350
"Spartan",2004,"Anton","man",314,0.0509657523,,6,1350
"Spartan",2004,"Avi","man",400,0.0649245252,51,6,1350
"Spartan",2004,"Burch","man",574,0.0931666937,58,6,1350
"Spartan",2004,"Donny","woman",104,0.0168803766,,6,1350
"Spartan",2004,"Laura Newton","woman",153,0.0248336309,24,6,1350
"Spartan",2004,"Michael Blake","man",259,0.0420386301,28,6,1350
"Spartan",2004,"Miller","man",646,0.1048531083,42,6,1350
"Spartan",2004,"Scott","man",2988,0.4849862035,45,6,1350
"Spartan",2004,"Stoddard","man",349,0.0566466483,54,6,1350
"Spartan",2004,"Tariq Asani","man",267,0.0433371206,31,6,1350
"Speed Racer",2008,"Ben Burns","man",111,0.0074883627,66,53,1351
"Speed Racer",2008,"Cass Jones","man",410,0.027659718,41,53,1351
"Speed Racer",2008,"Everyman Announ","man",372,0.0250961344,,53,1351
"Speed Racer",2008,"French Announce","man",171,0.0115361263,,53,1351
"Speed Racer",2008,"Grey Ghost","man",345,0.0232746408,37,53,1351
"Speed Racer",2008,"Horuko Togokahn","woman",306,0.0206435944,30,53,1351
"Speed Racer",2008,"Inspector Detec","man",581,0.0391958443,36,53,1351
"Speed Racer",2008,"Johnny 'Goodboy","man",303,0.0204412062,35,53,1351
"Speed Racer",2008,"Katsu","man",206,0.0138973217,,53,1351
"Speed Racer",2008,"Minx","woman",171,0.0115361263,,53,1351
"Speed Racer",2008,"Mom","woman",513,0.0346083789,62,53,1351
"Speed Racer",2008,"Mushi","man",141,0.0095122445,,53,1351
"Speed Racer",2008,"Pops","man",1473,0.0993725966,56,53,1351
"Speed Racer",2008,"Race Announcer","man",139,0.009377319,43,53,1351
"Speed Racer",2008,"Racer X","man",946,0.0638197396,42,53,1351
"Speed Racer",2008,"Remmington","man",2590,0.1747284625,,53,1351
"Speed Racer",2008,"Rex Racer","man",338,0.0228024017,29,53,1351
"Speed Racer",2008,"Snake Oiler","man",218,0.0147068745,36,53,1351
"Speed Racer",2008,"Sparky","man",464,0.0313027053,30,53,1351
"Speed Racer",2008,"Speed","man",2818,0.1901099642,23,53,1351
"Speed Racer",2008,"Speed'S Teacher","woman",143,0.0096471699,,53,1351
"Speed Racer",2008,"Spritle Racer","man",824,0.0555892869,13,53,1351
"Speed Racer",2008,"Trixie","woman",587,0.0396006207,28,53,1351
"Speed Racer",2008,"Vinny - Crunche","man",653,0.0440531606,42,53,1351
"Star Wars: Episode VI - Return of the Jedi",1983,"Admiral Ackbar","man",199,0.0390962672,61,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"Ben 'Obi-Wan' K","man",462,0.0907662083,69,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"C-3Po","man",881,0.1730844794,37,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"Darth Vader","man",381,0.0748526523,48,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"Han Solo","man",835,0.1640471513,41,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"Lando Calrissia","man",379,0.074459725,46,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"Luke Skywalker","man",915,0.1797642436,32,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"Princess Leia","woman",359,0.0705304519,27,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"The Emperor","man",516,0.1013752456,39,853,1359
"Star Wars: Episode VI - Return of the Jedi",1983,"Yoda","man",163,0.0320235756,19,853,1359
"Star Wars: Episode II - Attack of the Clones",2002,"Anakin Skywalke","man",2061,0.274251497,21,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Cliegg Lars","man",152,0.0202262142,62,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Count Dooku","man",321,0.0427145709,80,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Dexter Jettster","man",151,0.020093147,67,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Jar Jar Binks","man",294,0.0391217565,29,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Lama Su","man",350,0.0465735196,48,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Mace Windu","man",365,0.0485695276,54,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Madame Jocasta ","woman",331,0.0440452428,82,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Obi-Wan Kenobi","man",1477,0.1965402528,31,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Padme","woman",668,0.0888888889,21,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Queen Jamillia","woman",135,0.0179640719,25,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Supreme Chancel","man",576,0.0766467066,58,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Taun We","woman",139,0.0184963407,40,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Watto","man",140,0.0186294079,49,465,1360
"Star Wars: Episode II - Attack of the Clones",2002,"Yoda","man",355,0.0472388556,58,465,1360
"Star Trek",2009,"Academy Preside","man",225,0.0309746696,,299,1361
"Star Trek",2009,"Amanda","woman",106,0.014592511,38,299,1361
"Star Trek",2009,"Ayel","man",171,0.0235407489,39,299,1361
"Star Trek",2009,"Captain Kirk","man",2014,0.2772577093,78,299,1361
"Star Trek",2009,"Captain Robau","man",197,0.0271200441,46,299,1361
"Star Trek",2009,"Chekov","man",308,0.0424008811,73,299,1361
"Star Trek",2009,"Dr. Mccoy","man",594,0.0817731278,89,299,1361
"Star Trek",2009,"George Kirk","man",205,0.0282213656,26,299,1361
"Star Trek",2009,"Nero","man",526,0.0724118943,41,299,1361
"Star Trek",2009,"Pike","man",807,0.111095815,53,299,1361
