story,lowercase,pos,count
02: The First Day,an,DT,4
02: The First Day,and,CC,70
02: The First Day,another,DT,2
02: The First Day,answer,NN,1
02: The First Day,answers,VBZ,1
02: The First Day,any,DT,1
02: The First Day,anything,NN,1
02: The First Day,appears,VBZ,3
02: The First Day,are,VBP,19
02: The First Day,area,NN,1
02: The First Day,aroundl,NN,1
02: The First Day,aroundthe,NN,1
02: The First Day,arrayed,VBN,1
02: The First Day,as,IN,16
02: The First Day,as,RB,1
02: The First Day,ashamed,JJ,1
02: The First Day,aside,RB,1
02: The First Day,askin,VBG,1
02: The First Day,asks,VBZ,3
02: The First Day,assistance,NN,1
02: The First Day,at,IN,16
02: The First Day,attend,VB,2
02: The First Day,auditorium,NN,2
02: The First Day,avenue,NNP,6
02: The First Day,away,RB,3
02: The First Day,back,NN,1
02: The First Day,back,RB,2
02: The First Day,baptismal,JJ,1
02: The First Day,baptist,NNP,1
02: The First Day,barrette,NN,1
02: The First Day,be,VB,7
02: The First Day,because,IN,3
02: The First Day,bed,NN,1
02: The First Day,been,VBN,1
02: The First Day,before,IN,7
02: The First Day,begin,VB,1
02: The First Day,beginning,NN,1
02: The First Day,beginning,VBG,1
02: The First Day,behind,IN,2
02: The First Day,believe,VB,1
02: The First Day,beside,IN,2
02: The First Day,better,JJR,1
02: The First Day,between,IN,2
02: The First Day,beyond,IN,1
02: The First Day,bill,NN,2
02: The First Day,birth,NN,1
02: The First Day,bit,NN,1
02: The First Day,bits,NNS,1
02: The First Day,black,JJ,2
02: The First Day,black-and-white,JJ,1
02: The First Day,blink,VB,1
02: The First Day,blondelle,NNP,3
02: The First Day,blue,JJ,1
02: The First Day,blue-and-green,JJ,1
02: The First Day,bout,NN,1
02: The First Day,brand,NN,2
02: The First Day,break,VB,1
02: The First Day,brown,JJ,2
02: The First Day,building,NN,2
02: The First Day,but,CC,8
02: The First Day,buzz-talk,NN,1
02: The First Day,by,IN,1
02: The First Day,ca,MD,2
02: The First Day,call,NN,1
02: The First Day,can,MD,7
02: The First Day,card,NN,1
02: The First Day,carmel,NNP,2
02: The First Day,carrying,VBG,1
02: The First Day,certificate,NN,1
02: The First Day,chair,NN,1
02: The First Day,chairs,NNS,3
02: The First Day,checkeredlike,JJ,1
02: The First Day,chicken,NN,1
02: The First Day,child,NN,6
02: The First Day,children,NNS,3
02: The First Day,chin,NN,1
02: The First Day,church,NN,2
02: The First Day,class,NN,1
02: The First Day,classrooms,NNS,1
02: The First Day,closing,NN,1
02: The First Day,colors,NNS,1
02: The First Day,come,VBN,1
02: The First Day,come,VBP,2
02: The First Day,concern,NN,1
02: The First Day,concerning,VBG,1
02: The First Day,connections,NNS,1
02: The First Day,continues,VBZ,2
02: The First Day,convinced,JJ,1
02: The First Day,cotton,NN,1
02: The First Day,cover,NN,1
02: The First Day,cross,VBP,3
02: The First Day,crowded,JJ,1
02: The First Day,crowns,NNS,1
02: The First Day,cry,NN,1
02: The First Day,crying,VBG,1
02: The First Day,cupping,VBG,1
02: The First Day,curlers,NNS,2
02: The First Day,curls,NNS,2
02: The First Day,da,NN,2
02: The First Day,dabbed,VBN,1
02: The First Day,dancing,NN,1
02: The First Day,darned,RB,1
02: The First Day,daughter,NN,1
02: The First Day,day,NN,2
02: The First Day,day,NNP,1
02: The First Day,disappeared,VBD,1
02: The First Day,diseased,JJ,1
02: The First Day,divip,NNP,1
02: The First Day,do,VB,2
02: The First Day,do,VBP,5
02: The First Day,doctor,NN,1
02: The First Day,document,NN,1
02: The First Day,documents,NNS,1
02: The First Day,does,VBZ,2
02: The First Day,dollar,NN,1
02: The First Day,door,NN,1
02: The First Day,doors,NNS,1
02: The First Day,doubts,NNS,1
02: The First Day,down,IN,3
02: The First Day,down,RP,3
02: The First Day,dozens,NNS,2
02: The First Day,dress,NN,1
02: The First Day,droop,VB,1
02: The First Day,drooping,VBG,1
02: The First Day,each,DT,3
02: The First Day,ears,NNS,1
02: The First Day,ebony,NNP,1
02: The First Day,ebonyj,NNP,1
02: The First Day,either,DT,1
02: The First Day,else,RB,2
02: The First Day,end,NN,1
02: The First Day,ends,VBZ,1
02: The First Day,enter,VBP,1
02: The First Day,ents,NNS,1
02: The First Day,enunciates,VBZ,1
02: The First Day,enveloped,VBN,1
02: The First Day,erasers,NNS,1
02: The First Day,even,RB,4
02: The First Day,ever,RB,1
02: The First Day,every,DT,3
02: The First Day,everything,NN,3
02: The First Day,eyes,NNS,3
02: The First Day,f.lementarv,NNP,1
02: The First Day,faint,JJ,1
02: The First Day,father,NN,1
02: The First Day,few,JJ,2
02: The First Day,fhc,NN,1
02: The First Day,fill,VB,3
02: The First Day,fills,VBZ,1
02: The First Day,finally,RB,1
02: The First Day,find,VBP,2
02: The First Day,finishes,NNS,1
02: The First Day,finishes,VBZ,1
02: The First Day,first,JJ,2
02: The First Day,first,NNP,1
02: The First Day,first,RB,2
02: The First Day,five-dollar,JJ,1
02: The First Day,five-year-old,JJ,1
02: The First Day,floor,NN,1
02: The First Day,footsteps,NNS,1
02: The First Day,for,IN,9
02: The First Day,form,NN,6
02: The First Day,forms,NNS,1
02: The First Day,friends,NNS,1
02: The First Day,from,IN,6
02: The First Day,front,JJ,1
02: The First Day,front,NN,3
02: The First Day,full,JJ,1
02: The First Day,fun,NN,1
02: The First Day,game,NN,2
02: The First Day,gardenia,NN,2
02: The First Day,gate,NN,1
02: The First Day,gave,VBD,1
02: The First Day,girl,NN,8
02: The First Day,gives,VBZ,1
02: The First Day,go,VB,4
02: The First Day,go,VBP,4
02: The First Day,god,NNP,1
02: The First Day,going,VBG,1
02: The First Day,gon,VBP,1
02: The First Day,got,VBD,1
02: The First Day,gray,JJ,1
02: The First Day,greatest,JJS,1
02: The First Day,green,JJ,1
02: The First Day,greeting,VBG,1
02: The First Day,greets,VBZ,1
02: The First Day,guardians-of-that,NN,1
02: The First Day,had,VBD,1
02: The First Day,hair,NN,3
02: The First Day,hall,NN,2
02: The First Day,hand,NN,8
02: The First Day,happened,VBN,1
02: The First Day,happier,JJR,1
02: The First Day,happy,JJ,1
02: The First Day,harrisjmiss,NNP,1
02: The First Day,has,VBZ,12
02: The First Day,have,VBP,6
02: The First Day,having,VBG,1
02: The First Day,he,PRP,2
02: The First Day,head,NN,3
02: The First Day,hear,VB,2
02: The First Day,hear,VBP,1
02: The First Day,heard,VBN,1
02: The First Day,heart,NN,1
02: The First Day,help,VB,3
02: The First Day,helpin,VB,1
02: The First Day,her,PRP,6
02: The First Day,her,PRP$,34
02: The First Day,here,RB,4
02: The First Day,herself,PRP,1
02: The First Day,hesitation,NN,1
02: The First Day,high,JJ,1
02: The First Day,higher,JJR,1
02: The First Day,hnd,NN,1
02: The First Day,hnir,NN,1
02: The First Day,holds,VBZ,1
02: The First Day,hour,NN,1
02: The First Day,how,WRB,1
02: The First Day,ht-cause,NN,1
02: The First Day,i,NNP,2
02: The First Day,i,PRP,47
02: The First Day,if,IN,7
02: The First Day,immediately,RB,1
02: The First Day,immunization,NN,1
02: The First Day,in,IN,22
02: The First Day,ind,NN,1
02: The First Day,indeed,RB,1
02: The First Day,inside,IN,1
02: The First Day,insistent,JJ,1
02: The First Day,into,IN,3
02: The First Day,introduces,VBZ,1
02: The First Day,is,VBZ,31
02: The First Day,it,PRP,12
02: The First Day,jersey,NNP,5
02: The First Day,jjut,NN,1
02: The First Day,jn,NN,1
02: The First Day,joy,NN,1
02: The First Day,jtiy,NN,1
02: The First Day,jumbo,JJ,1
02: The First Day,just,RB,3
02: The First Day,k,NN,1
02: The First Day,keithlandf,NNP,1
02: The First Day,kindergarten,NN,1
02: The First Day,kneels,VBZ,1
02: The First Day,know,VB,1
02: The First Day,know,VBP,2
02: The First Day,known,VBN,2
02: The First Day,knows,VBZ,1
02: The First Day,l,NN,1
02: The First Day,lack,NN,1
02: The First Day,large,JJ,1
02: The First Day,larger,JJR,1
02: The First Day,last,JJ,3
02: The First Day,last,VB,1
02: The First Day,later,RBR,1
02: The First Day,learn,VB,1
02: The First Day,learned,VBD,1
02: The First Day,learned,VBN,1
02: The First Day,learning,VBG,1
02: The First Day,leave,VBP,1
02: The First Day,left,NN,1
02: The First Day,less,JJR,1
02: The First Day,let,VB,2
02: The First Day,letter,NN,2
02: The First Day,liable,JJ,1
02: The First Day,license,NN,1
02: The First Day,liettftfty,NN,1
02: The First Day,life,NN,3
02: The First Day,like,IN,2
02: The First Day,lines,NNS,1
02: The First Day,lips,NNS,2
02: The First Day,listen,VB,1
02: The First Day,little,JJ,1
02: The First Day,live,VBP,3
02: The First Day,long,JJ,1
02: The First Day,long,RB,2
02: The First Day,looking,VBG,4
02: The First Day,looks,NNS,1
02: The First Day,looks,VBZ,5
02: The First Day,lost,VBN,1
02: The First Day,loud,JJ,2
02: The First Day,lrli,NNS,1
02: The First Day,lust,NN,1
02: The First Day,made,VBN,1
02: The First Day,magician,NN,1
02: The First Day,make,VBP,1
02: The First Day,makes,VBZ,1
02: The First Day,mama,NN,1
02: The First Day,many,JJ,3
02: The First Day,marbles,NNS,1
02: The First Day,marriage,NN,1
02: The First Day,mary,NNP,3
02: The First Day,mass,NN,1
02: The First Day,matter,VB,1
02: The First Day,me,PRP,16
02: The First Day,means,VBZ,1
02: The First Day,memory,NN,1
02: The First Day,metal,NN,1
02: The First Day,middle,JJ,1
02: The First Day,middle,NN,1
02: The First Day,milk,NN,1
02: The First Day,mind,VB,2
02: The First Day,minutes,NNS,1
02: The First Day,miss,NNP,3
02: The First Day,moment,NN,2
02: The First Day,money,NN,2
02: The First Day,monkey,NN,1
02: The First Day,more,RBR,3
02: The First Day,morning,NN,4
02: The First Day,mother,NN,42
02: The First Day,mouth,NN,1
02: The First Day,move,VBP,1
02: The First Day,mt.,NNP,2
02: The First Day,much,RB,1
02: The First Day,must,MD,1
02: The First Day,my,PRP$,75
02: The First Day,n't,RB,6
02: The First Day,na,TO,1
02: The First Day,namcfthis,NN,1
02: The First Day,name,NN,2
02: The First Day,names,NNS,1
02: The First Day,navel,NN,1
02: The First Day,near,IN,1
02: The First Day,nearby,JJ,1
02: The First Day,nearing,VBG,1
02: The First Day,nearly.an,JJ,1
02: The First Day,need,MD,1
02: The First Day,needed,VBN,1
02: The First Day,needs,NNS,1
02: The First Day,neighborhood,NN,1
02: The First Day,neighbors,NNS,1
02: The First Day,never,RB,2
02: The First Day,new,JJ,3
02: The First Day,new,NNP,6
02: The First Day,newer,JJR,1
02: The First Day,nicked,VBN,1
02: The First Day,night,NN,1
02: The First Day,night,RB,1
02: The First Day,no,DT,4
02: The First Day,nods,VBZ,1
02: The First Day,non,JJ,1
02: The First Day,none,NN,1
02: The First Day,nose,NN,1
02: The First Day,not,RB,9
02: The First Day,notebook,NN,2
02: The First Day,nothing,NN,1
02: The First Day,now,RB,4
02: The First Day,nowhere,RB,1
02: The First Day,o'clock,RB,1
02: The First Day,oatmeal,NN,1
02: The First Day,occupied,VBN,1
02: The First Day,of,IN,44
02: The First Day,off,RP,2
02: The First Day,offers,VBZ,1
02: The First Day,often,RB,1
02: The First Day,old,JJ,2
02: The First Day,older,JJR,1
02: The First Day,on,IN,12
02: The First Day,once,RB,1
02: The First Day,one,CD,11
02: The First Day,one,NN,1
02: The First Day,only,RB,4
02: The First Day,or,CC,2
02: The First Day,other,JJ,4
02: The First Day,otherwise,RB,1
02: The First Day,our,PRP$,3
02: The First Day,out,IN,3
02: The First Day,out,RP,6
02: The First Day,over,IN,2
02: The First Day,overheard,VBN,1
02: The First Day,package,NN,1
02: The First Day,pale,JJ,1
02: The First Day,paper,NN,4
02: The First Day,papers,NNS,2
02: The First Day,parent,NN,1
02: The First Day,parents,NNS,1
02: The First Day,part,NN,1
02: The First Day,passes,VBZ,1
02: The First Day,past,IN,1
02: The First Day,patent-leatherlmiracles,NNS,1
02: The First Day,payments,NNS,1
02: The First Day,peaf-h,JJ,1
02: The First Day,pearls,NNS,1
02: The First Day,pencil,NN,2
02: The First Day,pencils,NNS,1
02: The First Day,people,NNS,3
02: The First Day,perfume,NN,3
02: The First Day,perhaps,RB,1
02: The First Day,person,NN,1
02: The First Day,pick,VB,1
02: The First Day,picking,VBG,2
02: The First Day,picturing,VBG,1
02: The First Day,pieces,NNS,2
02: The First Day,pierce,NNP,1
02: The First Day,place-is,JJ,1
02: The First Day,places,NNS,2
02: The First Day,plaiting,VBG,1
02: The First Day,plaits,NNS,1
02: The First Day,plastic,JJ,1
02: The First Day,playing,VBG,1
02: The First Day,pnh,NN,1
02: The First Day,pockefflofjlffldtuthetjraiter,NN,1
02: The First Day,pocketbook,NN,1
02: The First Day,pointed,VBN,1
02: The First Day,possessively,RB,1
02: The First Day,pox,NN,1
02: The First Day,pranre,NN,1
02: The First Day,precious,JJ,1
02: The First Day,present,JJ,1
02: The First Day,presents,NNS,1
02: The First Day,presents,VBZ,1
02: The First Day,press,VB,1
02: The First Day,public,JJ,1
02: The First Day,pull,VB,1
02: The First Day,pulling,VBG,1
02: The First Day,purposefulness,NN,1
02: The First Day,push,VB,1
02: The First Day,puts,VBZ,1
02: The First Day,question,NN,2
02: The First Day,questions,NNS,2
02: The First Day,questions,VBZ,1
02: The First Day,quickly,RB,2
02: The First Day,quivering,VBG,1
02: The First Day,rathgrjiigh,VBN,1
02: The First Day,re,NNP,1
02: The First Day,read,VB,2
02: The First Day,reads,VBZ,1
02: The First Day,receipts,NNS,1
02: The First Day,record,NN,1
02: The First Day,records,NNS,1
02: The First Day,register,VBP,1
02: The First Day,remember,VB,1
02: The First Day,remotely,RB,1
02: The First Day,rent,NN,1
02: The First Day,replaiting,VBG,1
02: The First Day,respectability,NN,1
02: The First Day,returning,VBG,1
02: The First Day,returns,NNS,1
02: The First Day,right,NN,1
02: The First Day,right,RB,1
02: The First Day,rises,VBZ,1
02: The First Day,rock,NN,1
02: The First Day,room,NN,4
02: The First Day,rsfare,NN,1
02: The First Day,rubs,VBZ,1
02: The First Day,s,NN,1
02: The First Day,sad-faced,JJ,1
02: The First Day,sajcsthat,NN,1
02: The First Day,satisfied,JJ,1
02: The First Day,saving,VBG,1
02: The First Day,say,VBP,2
02: The First Day,saying,VBG,1
02: The First Day,says,VBZ,7
02: The First Day,scalp,NN,1
02: The First Day,scarves,NNS,1
02: The First Day,scattered,VBN,1
02: The First Day,school,NN,9
02: The First Day,school,NNP,1
02: The First Day,seaton,NNP,4
02: The First Day,second,JJ,1
02: The First Day,see,VB,1
02: The First Day,see,VBP,5
02: The First Day,seeing,VBG,1
02: The First Day,seems,VBZ,3
02: The First Day,seen,VBN,1
02: The First Day,sense,VBP,1
02: The First Day,september,NNP,1
02: The First Day,serves,VBZ,1
02: The First Day,set,VBD,1
02: The First Day,set,VBN,2
02: The First Day,several,JJ,2
02: The First Day,shakes,VBZ,2
02: The First Day,sharpener,NN,1
02: The First Day,she,PRP,35
02: The First Day,shoes,NNS,3
02: The First Day,should,MD,1
02: The First Day,shoulder,NN,1
02: The First Day,show,NN,1
02: The First Day,side,NN,2
02: The First Day,sidewalks,NNS,1
02: The First Day,singing,NN,1
02: The First Day,single,JJ,1
02: The First Day,sisters,NNS,3
02: The First Day,sit,VB,1
02: The First Day,sitting,VBG,2
02: The First Day,slaps,VBZ,1
02: The First Day,slip,NN,1
02: The First Day,slowly,RB,2
02: The First Day,small,JJ,2
02: The First Day,smell,NN,2
02: The First Day,smell,VB,1
02: The First Day,so,IN,1
02: The First Day,so,RB,3
02: The First Day,socks,NNS,2
02: The First Day,some,DT,1
02: The First Day,somehow,RB,1
02: The First Day,someone,NN,1
02: The First Day,someplace,NN,1
02: The First Day,something,NN,2
02: The First Day,somewhere,RB,1
02: The First Day,soothing,JJ,1
02: The First Day,sounds,NNS,2
02: The First Day,speaking,VBG,1
02: The First Day,speaks,VBZ,1
02: The First Day,speckled,JJ,1
02: The First Day,spent,VBD,1
02: The First Day,stage,NN,1
02: The First Day,standing,NN,1
02: The First Day,stands,VBZ,1
02: The First Day,stare,VBP,1
02: The First Day,stares,VBZ,1
02: The First Day,start,VBP,1
02: The First Day,step,VBP,1
02: The First Day,steps,NNS,2
02: The First Day,still,RB,4
02: The First Day,stingiest,JJS,1
02: The First Day,stomach,NN,1
02: The First Day,stop,VB,2
02: The First Day,stops,VBZ,2
02: The First Day,street,NN,2
02: The First Day,street,NNP,4
02: The First Day,strewn,JJ,1
02: The First Day,string,NN,1
02: The First Day,sturdiness,NN,1
02: The First Day,such,JJ,1
02: The First Day,sudden,JJ,1
02: The First Day,suddenly,RB,1
02: The First Day,sugar,NN,1
02: The First Day,sundays,NNPS,2
02: The First Day,support,VB,1
02: The First Day,sure,JJ,1
02: The First Day,sweetened,VBN,1
02: The First Day,ta,TO,1
02: The First Day,table,NN,2
02: The First Day,tables,NNS,2
02: The First Day,tablet,NN,1
02: The First Day,taken,VBN,1
02: The First Day,takes,VBZ,7
02: The First Day,taking,VBG,1
02: The First Day,talking,NN,1
02: The First Day,tamp,NN,1
02: The First Day,teacher,NN,3
02: The First Day,teachers,NNS,1
02: The First Day,teeming,VBG,1
02: The First Day,tells,VBZ,4
02: The First Day,ten-cent,JJ,1
02: The First Day,teristicall,CD,1
02: The First Day,than,IN,2
02: The First Day,that,DT,4
02: The First Day,that,IN,9
02: The First Day,that,WDT,8
02: The First Day,the,DT,104
02: The First Day,them,PRP,8
02: The First Day,then,RB,7
02: The First Day,there,EX,2
02: The First Day,there,RB,2
02: The First Day,thescalefof,JJ,1
02: The First Day,these,DT,2
02: The First Day,they,PRP,4
02: The First Day,thi,NNP,1
02: The First Day,thick,JJ,2
02: The First Day,thin,JJ,1
02: The First Day,things,NNS,1
02: The First Day,think,VBP,1
02: The First Day,third,NNP,1
02: The First Day,this,DT,13
02: The First Day,those,DT,1
02: The First Day,thought,NN,1
02: The First Day,three,CD,1
02: The First Day,through,IN,1
02: The First Day,thumb,NN,1
02: The First Day,time,NN,2
02: The First Day,timeworn,JJ,1
02: The First Day,tingles,VBZ,1
02: The First Day,tiny,JJ,1
02: The First Day,tip,NN,1
02: The First Day,to,TO,45
02: The First Day,toe,NN,1
02: The First Day,together,RB,1
02: The First Day,too,RB,1
02: The First Day,took,VBD,1
02: The First Day,tops,NNS,1
02: The First Day,touch,VBP,1
02: The First Day,touching,VBG,1
02: The First Day,toward,IN,1
02: The First Day,trimmed,VBD,1
02: The First Day,turn,VBP,1
02: The First Day,turns,VBZ,2
02: The First Day,twelve,CD,1
02: The First Day,twisted,VBN,1
02: The First Day,two,CD,3
02: The First Day,ujnchaja,NN,1
02: The First Day,uncommon,JJ,1
02: The First Day,under,IN,1
02: The First Day,understand,VB,1
02: The First Day,underwear,NN,2
02: The First Day,unremarkable,JJ,1
02: The First Day,until,IN,3
02: The First Day,up,RP,8
02: The First Day,upon,IN,1
02: The First Day,us,PRP,4
02: The First Day,use,VB,1
02: The First Day,very,RB,1
02: The First Day,vigorously,RB,1
02: The First Day,wait,VB,2
02: The First Day,walk,VBP,1
02: The First Day,walker-jones.1,NN,1
02: The First Day,walking,VBG,1
02: The First Day,walks,VBZ,1
02: The First Day,wall,NN,1
02: The First Day,want,VB,1
02: The First Day,want,VBP,1
02: The First Day,wanted,VBD,1
02: The First Day,was,VBD,1
02: The First Day,watching,VBG,1
02: The First Day,way,NN,2
02: The First Day,we,PRP,17
02: The First Day,wearing,VBG,2
02: The First Day,wfllkfr-j,NN,1
02: The First Day,what,WP,4
02: The First Day,when,WRB,6
02: The First Day,whenever,NNP,1
02: The First Day,where,WRB,5
02: The First Day,which,WDT,2
02: The First Day,whining,NN,1
02: The First Day,whining,VBG,1
02: The First Day,white,JJ,4
02: The First Day,who,WP,4
02: The First Day,whole,JJ,1
02: The First Day,why,WRB,2
02: The First Day,will,MD,3
02: The First Day,will/reach,NN,1
02: The First Day,with,IN,15
02: The First Day,without,IN,2
02: The First Day,woman,NN,23
02: The First Day,womb,NN,1
02: The First Day,women,NNS,2
02: The First Day,wora,NN,1
02: The First Day,word,NN,5
02: The First Day,world,NN,2
02: The First Day,worthy,JJ,1
02: The First Day,would,MD,3
02: The First Day,write,VB,1
02: The First Day,writes,VBZ,1
02: The First Day,wrong,JJ,1
02: The First Day,years,NNS,2
02: The First Day,yellow,JJ,2
02: The First Day,yes,UH,1
02: The First Day,york,NNP,1
02: The First Day,you,PRP,12
02: The First Day,you-know,NN,1
02: The First Day,younger,JJR,1
02: The First Day,|,NN,1
02: The First Day,|,NNP,1
02: The First Day,£,$,3
02: The First Day,™,SYM,1
03: The Night Rhonda Ferguson Was Killed,!,0,28
03: The Night Rhonda Ferguson Was Killed,&,CC,1
03: The Night Rhonda Ferguson Was Killed,,',9
03: The Night Rhonda Ferguson Was Killed,,POS,5
03: The Night Rhonda Ferguson Was Killed,',',197
03: The Night Rhonda Ferguson Was Killed,d,MD,16
03: The Night Rhonda Ferguson Was Killed,ll,MD,9
03: The Night Rhonda Ferguson Was Killed,m,VBP,7
03: The Night Rhonda Ferguson Was Killed,re,VBP,3
03: The Night Rhonda Ferguson Was Killed,s,POS,73
03: The Night Rhonda Ferguson Was Killed,s,VBZ,8
03: The Night Rhonda Ferguson Was Killed,*,SYM,5
03: The Night Rhonda Ferguson Was Killed,**,SYM,1
03: The Night Rhonda Ferguson Was Killed,",",",",453
03: The Night Rhonda Ferguson Was Killed,",1",CD,1
03: The Night Rhonda Ferguson Was Killed,-0,:,2
03: The Night Rhonda Ferguson Was Killed,--,:,6
03: The Night Rhonda Ferguson Was Killed,-lcb-,-LRB-,2
03: The Night Rhonda Ferguson Was Killed,-lsb-,-LRB-,1
03: The Night Rhonda Ferguson Was Killed,-rcb-,-RRB-,1
03: The Night Rhonda Ferguson Was Killed,-rrb-,-RRB-,1
03: The Night Rhonda Ferguson Was Killed,-rsb-,-RRB-,3
03: The Night Rhonda Ferguson Was Killed,0,0,470
03: The Night Rhonda Ferguson Was Killed,...,:,3
03: The Night Rhonda Ferguson Was Killed,/,:,3
03: The Night Rhonda Ferguson Was Killed,11th,JJ,3
03: The Night Rhonda Ferguson Was Killed,12th,JJ,2
03: The Night Rhonda Ferguson Was Killed,13th,JJ,3
03: The Night Rhonda Ferguson Was Killed,13th,NNP,4
03: The Night Rhonda Ferguson Was Killed,1957,CD,1
03: The Night Rhonda Ferguson Was Killed,2,CD,1
03: The Night Rhonda Ferguson Was Killed,46,CD,1
03: The Night Rhonda Ferguson Was Killed,7,CD,1
03: The Night Rhonda Ferguson Was Killed,7they,NN,1
03: The Night Rhonda Ferguson Was Killed,8th,JJ,5
03: The Night Rhonda Ferguson Was Killed,9th,JJ,2
03: The Night Rhonda Ferguson Was Killed,:,:,9
03: The Night Rhonda Ferguson Was Killed,;,:,2
03: The Night Rhonda Ferguson Was Killed,<,JJR,2
03: The Night Rhonda Ferguson Was Killed,>,JJR,3
03: The Night Rhonda Ferguson Was Killed,?,0,57
03: The Night Rhonda Ferguson Was Killed,\,NN,2
03: The Night Rhonda Ferguson Was Killed,\,SYM,3
03: The Night Rhonda Ferguson Was Killed,^,CD,1
03: The Night Rhonda Ferguson Was Killed,^,NN,2
03: The Night Rhonda Ferguson Was Killed,^,NNP,4
03: The Night Rhonda Ferguson Was Killed,^,SYM,1
03: The Night Rhonda Ferguson Was Killed,^,VBD,1
03: The Night Rhonda Ferguson Was Killed,_,SYM,3
03: The Night Rhonda Ferguson Was Killed,__,NN,1
03: The Night Rhonda Ferguson Was Killed,`,``,5
03: The Night Rhonda Ferguson Was Killed,``,``,199
03: The Night Rhonda Ferguson Was Killed,a,DT,126
03: The Night Rhonda Ferguson Was Killed,able,JJ,3
03: The Night Rhonda Ferguson Was Killed,about,IN,14
03: The Night Rhonda Ferguson Was Killed,about,RB,6
03: The Night Rhonda Ferguson Was Killed,accompanying,VBG,1
03: The Night Rhonda Ferguson Was Killed,across,IN,8
03: The Night Rhonda Ferguson Was Killed,adrift,NN,1
03: The Night Rhonda Ferguson Was Killed,afro,NNP,2
03: The Night Rhonda Ferguson Was Killed,after,IN,23
03: The Night Rhonda Ferguson Was Killed,after,RB,1
03: The Night Rhonda Ferguson Was Killed,again,RB,13
03: The Night Rhonda Ferguson Was Killed,against,IN,2
03: The Night Rhonda Ferguson Was Killed,ago,RB,2
03: The Night Rhonda Ferguson Was Killed,ahead,RB,1
03: The Night Rhonda Ferguson Was Killed,ai,VBP,6
03: The Night Rhonda Ferguson Was Killed,alice,NNP,2
03: The Night Rhonda Ferguson Was Killed,alive,JJ,1
03: The Night Rhonda Ferguson Was Killed,all,DT,22
03: The Night Rhonda Ferguson Was Killed,all,PDT,17
03: The Night Rhonda Ferguson Was Killed,all,RB,2
03: The Night Rhonda Ferguson Was Killed,allow,VBP,1
03: The Night Rhonda Ferguson Was Killed,allowed,VBD,1
03: The Night Rhonda Ferguson Was Killed,alone,RB,3
03: The Night Rhonda Ferguson Was Killed,along,IN,3
03: The Night Rhonda Ferguson Was Killed,along,RP,1
03: The Night Rhonda Ferguson Was Killed,already,RB,3
03: The Night Rhonda Ferguson Was Killed,always,RB,4
03: The Night Rhonda Ferguson Was Killed,among,IN,5
03: The Night Rhonda Ferguson Was Killed,an,DT,7
03: The Night Rhonda Ferguson Was Killed,anacostia,JJ,1
03: The Night Rhonda Ferguson Was Killed,anacostia,NNP,7
03: The Night Rhonda Ferguson Was Killed,and,CC,262
03: The Night Rhonda Ferguson Was Killed,andjjladys,NNS,1
03: The Night Rhonda Ferguson Was Killed,andjmiss,VBZ,1
03: The Night Rhonda Ferguson Was Killed,angry,JJ,1
03: The Night Rhonda Ferguson Was Killed,anita,NNP,68
03: The Night Rhonda Ferguson Was Killed,announcing,VBG,1
03: The Night Rhonda Ferguson Was Killed,another,DT,6
03: The Night Rhonda Ferguson Was Killed,any,DT,6
03: The Night Rhonda Ferguson Was Killed,anymore,RB,1
03: The Night Rhonda Ferguson Was Killed,anyone,NN,1
03: The Night Rhonda Ferguson Was Killed,anything,NN,7
03: The Night Rhonda Ferguson Was Killed,anyway,RB,1
03: The Night Rhonda Ferguson Was Killed,apartment,NN,6
03: The Night Rhonda Ferguson Was Killed,appreciate,VB,1
03: The Night Rhonda Ferguson Was Killed,are,VBP,2
03: The Night Rhonda Ferguson Was Killed,argument,NN,1
03: The Night Rhonda Ferguson Was Killed,arm,NN,9
03: The Night Rhonda Ferguson Was Killed,arms,NNS,10
03: The Night Rhonda Ferguson Was Killed,army,NNP,1
03: The Night Rhonda Ferguson Was Killed,around,IN,6
03: The Night Rhonda Ferguson Was Killed,around,RB,1
03: The Night Rhonda Ferguson Was Killed,around,RP,1
03: The Night Rhonda Ferguson Was Killed,articles,NNS,1
03: The Night Rhonda Ferguson Was Killed,as,IN,36
03: The Night Rhonda Ferguson Was Killed,as,RB,3
03: The Night Rhonda Ferguson Was Killed,ashes,NNS,1
03: The Night Rhonda Ferguson Was Killed,ask,VB,3
03: The Night Rhonda Ferguson Was Killed,asked,VBD,6
03: The Night Rhonda Ferguson Was Killed,askin,VBG,1
03: The Night Rhonda Ferguson Was Killed,asleep,RB,1
03: The Night Rhonda Ferguson Was Killed,ass,NN,2
03: The Night Rhonda Ferguson Was Killed,assandra,FW,1
03: The Night Rhonda Ferguson Was Killed,associated,VBD,1
03: The Night Rhonda Ferguson Was Killed,at,IN,47
03: The Night Rhonda Ferguson Was Killed,atfelson,NNP,1
03: The Night Rhonda Ferguson Was Killed,atives,NNS,1
03: The Night Rhonda Ferguson Was Killed,attention,NN,1
03: The Night Rhonda Ferguson Was Killed,autumn,NN,1
03: The Night Rhonda Ferguson Was Killed,away,RB,4
03: The Night Rhonda Ferguson Was Killed,awesomely,RB,1
03: The Night Rhonda Ferguson Was Killed,babies,NNS,1
03: The Night Rhonda Ferguson Was Killed,baby,NN,2
03: The Night Rhonda Ferguson Was Killed,baby-sitter,NN,1
