contributor | title | genre | pages | volume | issue | date | journal title | journal subtitle | issue name | journal editor | publisher | journal location | issue length (pp) | issue height (cm) | issue width (cm)
Gruening, Martha | A Woman's Suffrage Symposium: Two Suffrage Movements | articles | 245-247 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Jonas, Rosalie | A Woman's Suffrage Symposium: Brother Baptis' on Woman Suffrage | poetry | 247-247 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Book Review of 'Wendell Phillips: The Faith of an American' by George Edward Woodberry | articles | 249-249 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Book Review of 'The Negro at Work in New York City: A Study in Economic Progress' by George Edmund Haynes | articles | 249-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Review of 'The Black Pawn' by Norman Duncan | articles | 250-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
A Subscriber | Letter Box | letters | 250-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
A Southern White Woman | Letter Box | letters | 250-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Gulliford, Dora | Letter Box | letters | 250-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Stevenson, William | Letter Box | letters | 250-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hackley, E. Azalia | Letter Box | letters | 250-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Barco, J. W. | Letter Box | letters | 250-250 | 4 | 5 | 1912-09-01 | Crisis | A Record of the Darker Races | Woman's Suffrage Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
L. R. L. | Mr. Hare and Mr. Tortoise Staring at an Ant Hill | images | 292-292 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
L. R. L. | Mr. Tortoise Telling How to Capture Mr. Hare in a Pot | images | 293-293 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
L. R. L. | Mr. Hare Jumping Out of the Cooking Pot with Mr. Tortoise Looking On | images | 293-293 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
L. R. L. | Mr. Hare and Mr. Tortoise Together | images | 294-294 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | Some Books for Boys and Girls | articles | 295-298 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hershaw, L. M. | Historic Days in October | articles | 298-298 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hoggan, Frances (M. D.) | A Plea for the Survival of the Protectorates of South Africa | articles | 300-301 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Clarke, James B. | The Cuban Revolution | articles | 301-302 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Manning, Joseph C. | Suffrage Conditions in Democratic and Republican States Compared | articles | 304-305 308-308 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Walters, Alexander | Subject: Make Friends of Thine Enemies | articles | 306-307 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wood, Robert N. | Subject: Make Friends of Thine Enemies | articles | 306-307 | 4 | 6 | 1912-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Adams, John Henry | Cover Image: Drawing of a Woman | images | 1-1 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Stafford, Wendell Phillips | Garrison at Bennington | poetry | 17-17 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hershaw, L. M. | Historic Days in November | articles | 26-26 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Addams, Jane | The Progressive Party and the Negro | articles | 30-31 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Stowe, Charles Edward | The Religion of Slavery | articles | 36-38 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Book Review of 'The Autobiography of an ex-Colored Man' | articles | 38-38 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Review of the 'The South and the Negro,' 'Negroes in the Urban Movement,' and 'The Negro in New York' | articles | 38-38 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Noyes, Alfred | Samuel Coleridge-Taylor: Died September, 1, 1912, Aged 37 | poetry | 40-40 | 5 | 1 | 1912-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Brown, Richard L. | Cover Image: Winter Farm | images | 53-53 | 5 | 2 | 1912-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Laurence, Robert J. | The Christmas Sermon | poetry | 68-68 | 5 | 2 | 1912-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | Emmy―I-IV | fiction | 79-87 | 5 | 2 | 1912-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hunton, A. W. | The Club Movement in California: Women's Clubs | articles | 90-92 | 5 | 2 | 1912-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wheeler, Laura | Cover Image: Drawing of an Old Man | images | 105-105 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Corrothers, James D. | The Road to the Bow | poetry | 121-121 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Thwing, Charles F. | Letters | letters | 130-131 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bishop, Samuel H. | Letters | letters | 130-131 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
An Episcopal Clergyman | Letters | letters | 130-131 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bradford, James T. | Letters | letters | 130-131 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Clark, M. V. | A Holiday Suggestion | articles | 132-133 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | Emmy―V-IX | fiction | 134-142 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Dutton, Caleb S. S. | Equality and Liberty | articles | 144-144 | 5 | 3 | 1913-01-01 | Crisis | A Record of the Darker Races | Emancipation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, James Weldon | Father, Father Abraham | poetry | 172-172 | 5 | 4 | 1913-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Spingarn, J. E. | A Letter to a Southern Woman | letters | 186-186 | 5 | 4 | 1913-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cooke, Virgil | The Representative: A Story | fiction | 187-187 | 5 | 4 | 1913-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wise, Stephen S. | Abolition and Fifty Years After | articles | 188-189 | 5 | 4 | 1913-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bradford, Geo. G. | Letter to Dr. Du Bois | letters | 193-193 | 5 | 4 | 1913-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Garvin, Charles H. | The Alpha Phi Alpha Fraternity | articles | 196-197 | 5 | 4 | 1913-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Webb, Miles M. | Cover Image: Photograph of a Woman with Crown and Scepter | images | 209-209 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Scott, William E. | 'La Pauvre Voisine' | images | 223-223 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Moore, William | That One Might Live in the Sunlight Glad | poetry | 227-227 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
The Crisis | Editorial: An Open Letter to Woodrow Wilson | letters | 236-237 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, Fenton | My Love | poetry | 240-240 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hull, B. G. | Mildred Porter's Position | fiction | 241-242 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Caines, J. H. | Mildred Porter's Head | images | 241-241 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Noyes, Alfred | The Dead Master: Poem for the Memorial Stone to Samuel Coleridge-Taylor | poetry | 245-245 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Kirby, A. | Letter Box: The Other Americas—Letter I | letters | 248-248 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Mallet, P. W. | Letter Box: The Other Americas—Letter II | letters | 248-248 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Mitchell, J. H. | Letter Box: The Crisis | letters | 248-248 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Harris, Lorenzo W. | Cartoon: The New Porter | images | 249-249 | 5 | 5 | 1913-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Harris, Lorenzo | Department Headings | images | 267-267 274-274 276-276 296-296 300-300 301-301 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Latimer, Louise R. | Center Page Decoration: Wings over Labor | images | 286-287 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Pace, Harry H. | The Man Who Won: A Story―I | fiction | 293-295 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Riis, Jacob | The Black Half | articles | 298-299 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
E. J. H. | Letters: From White Folk | letters | 301-301 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Greenwood, Victor Lynch | Letters: From White Folk | letters | 301-301 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, George | Letters: From White Folk | letters | 301-301 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fisher, J. W. | Letters: From Colored Folk | letters | 301-302 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Jones, Harry H. | Letters: From Colored Folk | letters | 301-302 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Worthen, Samuel C. | Letters: 'It Pays to Kick' | letters | 302-302 | 5 | 6 | 1913-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Adams, John Henry | Cover Image: Drawing of a Woman | images | 1-1 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Underwood &amp; Underwood | Photograph of David Livingston: 1813-1873 | images | 19-19 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hirsch, Charlotte Teller | Hagar and Ishmael | fiction | 30-31 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Becquet, M. Just | 'Ishmael'—After Becquet in the Luxembourg Museum | images | 30-30 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Walling, William English | A Minimum Program of Negro Advancement | articles | 31-33 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Pace, Harry H. | The Man Who Won: A Story―II | fiction | 33-36 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Corrothers, James D. | Up! Sing the Song | poetry | 39-39 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Haywood, H. S. | The Burden: Property | letters | 40-41 | 6 | 1 | 1913-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Saunders, Vincent Ellsworth | Cover Image: Picture of a Woman | images | 53-53 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Harris, Lorenzo W. | Cartoon: American Logic | images | 80-80 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Clarana, José | Plácido: Poet and Martyr | articles | 82-83 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Plácido | Farewell | poetry | 83-83 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Plácido | Prayer | poetry | 83-83 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Plácido | Hymn to Liberty | poetry | 83-83 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Gutekunst | Photograph of Mayor Rudolph Blankenburg | images | 85-85 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Gutekunst | Photograph of Rabbi Joseph Krauskopf | images | 86-86 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Miller, Kelly | An Oath of Afro-American Youth | articles | 92-92 | 6 | 2 | 1913-06-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Saint-Gardens, Augustus | Men of the Month: The Shaw Memorial, Boston, Mass. | images | 123-123 | 6 | 3 | 1913-07-01 | Crisis | A Record of the Darker Races | Educational Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Clarana, José | The Schooling of the Negro | articles | 133-136 | 6 | 3 | 1913-07-01 | Crisis | A Record of the Darker Races | Educational Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Dickerman, G. S. | From Iowa to Mississippi | articles | 137-140 | 6 | 3 | 1913-07-01 | Crisis | A Record of the Darker Races | Educational Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Eaton, Isabel | Robert Gould Shaw House and Its Work | articles | 141-143 | 6 | 3 | 1913-07-01 | Crisis | A Record of the Darker Races | Educational Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Patten, T. R. | Bill Hudson—Hero | fiction | 187-188 | 6 | 4 | 1913-08-01 | Crisis | A Record of the Darker Races | California Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Pearson, H. | Our Neighbors | poetry | 188-188 | 6 | 4 | 1913-08-01 | Crisis | A Record of the Darker Races | California Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Pillsbury, A. E. | The N.A.A.C.P.: A Letter | letters | 191-191 | 6 | 4 | 1913-08-01 | Crisis | A Record of the Darker Races | California Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Scurlock | Cover Image: Profile of a Woman Wearing a Wide-Brimmed Hat | images | 209-209 | 6 | 5 | 1913-09-01 | Crisis | A Record of the Darker Races | Great Northwest Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
A Veteran Civil Service Clerk | Segregation | articles | 242-243 | 6 | 5 | 1913-09-01 | Crisis | A Record of the Darker Races | Great Northwest Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cunningham, Alice Hathaway | Nocturne | poetry | 243-243 | 6 | 5 | 1913-09-01 | Crisis | A Record of the Darker Races | Great Northwest Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Clarana, José | Getting Off the Color Line | articles | 244-246 | 6 | 5 | 1913-09-01 | Crisis | A Record of the Darker Races | Great Northwest Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Book Review of 'The "Passin'-on" Party' by Effie Graham | articles | 248-248 | 6 | 5 | 1913-09-01 | Crisis | A Record of the Darker Races | Great Northwest Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Book Review of 'Evolution and Life' by Algernon B. Jackson, M. D. | articles | 248-248 | 6 | 5 | 1913-09-01 | Crisis | A Record of the Darker Races | Great Northwest Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Book Review of 'Character Sketch of the Late Rev. J. Claudius May, F. R. G. S.' by Rev. J. T. Roberts | articles | 248-248 | 6 | 5 | 1913-09-01 | Crisis | A Record of the Darker Races | Great Northwest Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Corrothers, James D. | At the Closed Gate of Justice | poetry | 282-282 | 6 | 6 | 1913-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, Fenton | The Black Fairy | fiction | 292-294 | 6 | 6 | 1913-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Curtis, Julia Childs | A Girls' Clubhouse | articles | 294-296 | 6 | 6 | 1913-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Storey, Moorfield | The N.A.A.C.P.: 'To the President'—Letter Addressed to President Woodrow Wilson | letters | 298-299 | 6 | 6 | 1913-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Du Bois, W. E. Burghardt | The N.A.A.C.P.: 'To the President'—Letter Addressed to President Woodrow Wilson | letters | 298-299 | 6 | 6 | 1913-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Villard, Oswald Garrison | The N.A.A.C.P.: 'To the President'—Letter Addressed to President Woodrow Wilson | letters | 298-299 | 6 | 6 | 1913-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Riis, Jacob | A Fable | fiction | 300-300 | 6 | 6 | 1913-10-01 | Crisis | A Record of the Darker Races | Children's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Chamberlayne, L. P. | Opinion: Some Southern Logic: Letter Reprinted from the Columbia 'State' | letters | 328-328 | 7 | 1 | 1913-11-01 | Crisis | A Record of the Darker Races | Exposition Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Birdsall | Opinion: Some Southern Logic: Complaint of Editor Birdsall, Reprinted from the Yazoo City 'Sentinel' | articles | 328-330 | 7 | 1 | 1913-11-01 | Crisis | A Record of the Darker Races | Exposition Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
